timestamp,type,raw_hex_data
2025-08-07T08:52:37.233229,CORRUPT,4004d6502000000000002468acf13579bde02468acf13579bde01d2c
2025-08-07T08:52:42.249503,CORRUPT,00061650c0000c16e00006cee0000d2ea048d159e26af34040000061afd4dc80
2025-08-07T08:52:53.282836,CORRUPT,c008d652247c7820f8
2025-08-07T08:53:16.372745,CORRUPT,400e96550000000000002468acf13579bde02468acf13579bde09e4a63ca17
2025-08-07T08:54:45.932479,CORRUPT,4000564de000000000002468acf13579bde02468acf13579bde11088c000564d
2025-08-07T08:54:46.932079,CORRUPT,0000964e00000bf1600006a960000d092048d159e26af34000000065b3216e40
2025-08-07T08:54:46.932363,CORRUPT,4000964e0000000000002468acf13579bde02468acf13579bde18940c000964e06a628
2025-08-07T08:54:47.938231,CORRUPT,0000d64e20000bfde00006b5e0000d15a048d159e26af34000000061924abcc04000d64e2000000000002468acf13579bde02468acf13579bde1f280
2025-08-07T08:54:47.938594,CORRUPT,c000d64e25af
2025-08-07T08:54:48.944322,CORRUPT,0001164e40000c0a600006c260000d222048d159e26af34000000061909f98804001164e4000000000002468acf13579bde02468acf13579bde13b74c001164e448340
2025-08-07T08:54:49.949886,CORRUPT,0001564e60000c16e00006cee0000d2ea048d159e26af3400000006193f5b8c04001564e6000000000002468acf13579bde02468acf13579bde140b4c001564e678aec
2025-08-07T08:54:50.958355,CORRUPT,4001964e8000000000002468acf13579bde02468acf13579bde06640c001964e864114
2025-08-07T08:54:51.964163,CORRUPT,4001d64ea000000000002468acf13579bde02468acf13579bde01d80c001d64ea548b8
2025-08-07T08:54:52.969726,CORRUPT,4002164ec000000000002468acf13579bde02468acf13579bde05f1cc002164ec48914
2025-08-07T08:54:53.976235,CORRUPT,4002564ee000000000002468acf13579bde02468acf13579bde024c002564ee780b8
2025-08-07T08:54:54.982196,CORRUPT,4002964f0000000000002468acf13579bde02468acf13579bde07702c002964f076850
2025-08-07T08:54:55.988368,CORRUPT,4002d64f2000000000002468acf13579bde02468acf13579bde00cc2c002d64f2461fc
2025-08-07T08:54:56.994178,CORRUPT,4003164f4000000000002468acf13579bde02468acf13579bde0c536c003164f454d38
2025-08-07T08:54:57.999074,CORRUPT,4003564f6000000000002468acf13579bde02468acf13579bde0bef6c003564f664494
2025-08-07T08:54:59.001279,CORRUPT,4003964f8000000000002468acf13579bde02468acf13579bde19802c003964f878f6c
2025-08-07T08:55:00.006763,CORRUPT,4003d64fa000000000002468acf13579bde02468acf13579bde1e3c2c003d64fa486c0
2025-08-07T08:55:01.014014,CORRUPT,4004164fc000000000002468acf13579bde02468acf13579bde0b78ec004164fc49dbc
2025-08-07T08:55:02.016960,CORRUPT,4004564fe000000000002468acf13579bde02468acf13579bde0cc4ec004564fe79410
2025-08-07T08:55:03.019381,CORRUPT,400496500000000000002468acf13579bde02468acf13579bde0f9c6c0049650075c84
2025-08-07T08:55:05.026529,CORRUPT,400516504000000000002468acf13579bde02468acf13579bde04bf2c0051650
2025-08-07T08:55:06.032828,CORRUPT,400556506000000000002468acf13579bde02468acf13579bde03032c0055650667040
2025-08-07T08:55:07.034672,CORRUPT,400596508000000000002468acf13579bde02468acf13579bde116c6c005965087bbb8
2025-08-07T08:55:08.040017,CORRUPT,4005d650a000000000002468acf13579bde02468acf13579bde16d06c005d650a4b214
2025-08-11T11:54:38.449705,CORRUPT,4000564de000000000002468acf13579bde02468acf13579bde11088c000564d
2025-08-11T11:54:39.457227,CORRUPT,4000964e0000000000002468acf13579bde02468acf13579bde18940c000964e06a628
2025-08-11T11:54:40.458231,CORRUPT,0000d64e20000be4e000069ce0000cfca048d159e26af34000000061a92cc8804000d64e2000000000002468acf13579bde02468acf13579bde1f280c000d64e25af84
2025-08-11T11:54:41.464505,CORRUPT,0001164e40000bd86000069060000cf02048d159e26af34000000061b88be0004001164e4000000000002468acf13579bde02468acf13579bde13b74c001164e448340
2025-08-11T11:54:42.468798,CORRUPT,0001564e60000bcbe0000683e0000ce3a048d159e26af34000000061bc7072404001564e6000000000002468acf13579bde02468acf13579bde140b4
2025-08-11T11:54:42.469575,CORRUPT,c001564e67b209
2025-08-11T11:54:43.475242,CORRUPT,4001964e8000000000002468acf13579bde02468acf13579bde06640c001964e864114
2025-08-11T11:54:44.481646,CORRUPT,4001d64ea000000000002468acf13579bde02468acf13579bde01d80c001d64ea548b8
2025-08-11T11:54:45.483370,CORRUPT,4002164ec000000000002468acf13579bde02468acf13579bde05f1cc002164ec48914
2025-08-11T11:54:46.487700,CORRUPT,4002564ee000000000002468acf13579bde02468acf13579bde024dcc002564ee780b8
2025-08-11T11:54:47.494880,CORRUPT,4002964f0000000000002468acf13579bde02468acf13579bde007efc002964f076850
2025-08-11T11:54:48.501204,CORRUPT,4002d64f2000000000002468acf13579bde02468acf13579bde00cc2c002d64f2461fc
2025-08-11T11:54:49.503542,CORRUPT,4003164f4000000000002468acf13579bde02468acf13579bde0c536c003164f454d38
2025-08-11T11:54:50.506582,CORRUPT,0003564f60000bcbe0000683e0000ce3a048d159e26af3400000006193
2025-08-11T11:54:50.507343,CORRUPT,4003564f6000000000002468acf13579bde02468acf13579bde0bef6c003564f664494
2025-08-11T11:54:51.516032,CORRUPT,4003964f8000000000002468acf13579bde02468acf13579bde19802c003964f878f6c
2025-08-11T11:54:52.521024,CORRUPT,4003d64fa000000000002468acf13579bde02468acf13579bde1e3c2c003d64fa486c0
2025-08-11T11:54:53.525090,CORRUPT,4004164fc000000000002468acf13579bde02468acf13579bde0b78ec004164fc49dbc
2025-08-11T11:54:55.535186,CORRUPT,400496500000000000002468acf13579bde02468acf13579bde0f9c6c0049650075c84
2025-08-11T11:54:56.536663,CORRUPT,4004d6502000000000002468acf13579bde02468acf13579bde08206c004d650245528
