timestamp,type,seq_counter,rtc,data
2025-08-02T18:46:46.638803,BF,99,5497,"{'type': 'BF', 'seq_counter': 99, 'rtc': 5497, 'bit_flip': 4440249817156533370910473634686368896443958803038208, 'crc': 0}"
2025-08-02T18:46:46.664456,BF,99,5497,"{'type': 'BF', 'seq_counter': 99, 'rtc': 5497, 'bit_flip': 4440249817156533370910473634686368896443958803038208, 'crc': 0}"
2025-08-02T18:46:47.209991,BF,99,5497,"{'type': 'BF', 'seq_counter': 99, 'rtc': 5497, 'bit_flip': 4440249817156533370910473634686368896443958803038208, 'crc': 0}"
2025-08-02T18:46:48.241886,HK,42,14207,"{'type': 'HK', 'seq_counter': 42, 'rtc': 14207, 'internal': 120.1183203125, 'external': -46.85, 'sensor_board': -46.85, 'gnss': 0, 'altitude': 0, 'crc': 0}"
2025-08-02T18:46:49.201006,BF,99,5497,"{'type': 'BF', 'seq_counter': 99, 'rtc': 5497, 'bit_flip': 4440249817156533370910473634686368896443958803038208, 'crc': 0}"
2025-08-02T18:46:50.206720,HK,42,14207,"{'type': 'HK', 'seq_counter': 42, 'rtc': 14207, 'internal': 120.1183203125, 'external': -46.85, 'sensor_board': -46.85, 'gnss': 0, 'altitude': 0, 'crc': 0}"
2025-08-02T18:46:51.202991,BF,99,5497,"{'type': 'BF', 'seq_counter': 99, 'rtc': 5497, 'bit_flip': 4440249817156533370910473634686368896443958803038208, 'crc': 0}"
2025-08-02T18:46:52.202995,HK,42,14207,"{'type': 'HK', 'seq_counter': 42, 'rtc': 14207, 'internal': 120.1183203125, 'external': -46.85, 'sensor_board': -46.85, 'gnss': 0, 'altitude': 0, 'crc': 0}"
2025-08-02T18:46:53.202687,BF,99,5497,"{'type': 'BF', 'seq_counter': 99, 'rtc': 5497, 'bit_flip': 4440249817156533370910473634686368896443958803038208, 'crc': 0}"
2025-08-02T18:46:54.199736,HK,42,14207,"{'type': 'HK', 'seq_counter': 42, 'rtc': 14207, 'internal': 120.1183203125, 'external': -46.85, 'sensor_board': -46.85, 'gnss': 0, 'altitude': 0, 'crc': 0}"
2025-08-02T18:46:55.202873,BF,99,5497,"{'type': 'BF', 'seq_counter': 99, 'rtc': 5497, 'bit_flip': 4440249817156533370910473634686368896443958803038208, 'crc': 0}"
2025-08-02T18:46:56.200690,HK,42,14207,"{'type': 'HK', 'seq_counter': 42, 'rtc': 14207, 'internal': 120.1183203125, 'external': -46.85, 'sensor_board': -46.85, 'gnss': 0, 'altitude': 0, 'crc': 0}"
2025-08-02T18:46:57.202527,BF,99,5497,"{'type': 'BF', 'seq_counter': 99, 'rtc': 5497, 'bit_flip': 4440249817156533370910473634686368896443958803038208, 'crc': 0}"
2025-08-02T18:46:58.202769,HK,42,14207,"{'type': 'HK', 'seq_counter': 42, 'rtc': 14207, 'internal': 120.1183203125, 'external': -46.85, 'sensor_board': -46.85, 'gnss': 0, 'altitude': 0, 'crc': 0}"
2025-08-02T18:46:59.200412,BF,99,5497,"{'type': 'BF', 'seq_counter': 99, 'rtc': 5497, 'bit_flip': 4440249817156533370910473634686368896443958803038208, 'crc': 0}"
2025-08-02T18:47:00.203143,HK,42,14207,"{'type': 'HK', 'seq_counter': 42, 'rtc': 14207, 'internal': 120.1183203125, 'external': -46.85, 'sensor_board': -46.85, 'gnss': 0, 'altitude': 0, 'crc': 0}"
2025-08-02T18:47:01.201502,BF,99,5497,"{'type': 'BF', 'seq_counter': 99, 'rtc': 5497, 'bit_flip': 4440249817156533370910473634686368896443958803038208, 'crc': 0}"
2025-08-02T18:47:02.202763,HK,42,14207,"{'type': 'HK', 'seq_counter': 42, 'rtc': 14207, 'internal': 120.1183203125, 'external': -46.85, 'sensor_board': -46.85, 'gnss': 0, 'altitude': 0, 'crc': 0}"
2025-08-02T18:47:03.200845,BF,99,5497,"{'type': 'BF', 'seq_counter': 99, 'rtc': 5497, 'bit_flip': 4440249817156533370910473634686368896443958803038208, 'crc': 0}"
